,Variable,count,unique,top,freq,mean,std,min,25%,50%,75%,max,percent_empty
0,ADM_RATE,31141.0,,,,0.6714511351594382,0.20008904497455762,0.0,0.5522,0.6964,0.8132,1.0,35.76128885863399
1,ADM_RATE_ALL,31914.0,,,,0.6696427461302241,0.19631161980029785,0.0,0.5525249999999999,0.6923,0.807975,1.0,34.166718237514694
2,CCBASIC,2041,20,Master's Colleges & Universities: Larger Programs,341,,,,,,,,95.78975596674711
3,CCSIZSET,2041,14,"Four-year, small, highly residential",372,,,,,,,,95.78975596674711
4,CCUGPROF,2041,13,"Four-year, full-time, inclusive, higher transfer-in",370,,,,,,,,95.78975596674711
5,CIP01BACHL,48474,3,Program not offered,43997,,,,,,,,0.006188501763726428
6,CIP03BACHL,48474,3,Program not offered,34302,,,,,,,,0.006188501763726428
7,CIP04BACHL,48474,3,Program not offered,43524,,,,,,,,0.006188501763726428
8,CIP05BACHL,48474,3,Program not offered,35675,,,,,,,,0.006188501763726428
9,CIP09BACHL,48474,3,Program offered,26035,,,,,,,,0.006188501763726428
10,CIP10BACHL,48474,3,Program not offered,45037,,,,,,,,0.006188501763726428
11,CIP11BACHL,48474,3,Program offered,30500,,,,,,,,0.006188501763726428
12,CIP12BACHL,48474,3,Program not offered,47043,,,,,,,,0.006188501763726428
13,CIP13BACHL,48474,3,Program offered,31202,,,,,,,,0.006188501763726428
14,CIP14BACHL,48474,3,Program not offered,35588,,,,,,,,0.006188501763726428
15,CIP15BACHL,48474,3,Program not offered,39239,,,,,,,,0.006188501763726428
16,CIP16BACHL,48474,3,Program not offered,24722,,,,,,,,0.006188501763726428
17,CIP19BACHL,48474,3,Program not offered,39350,,,,,,,,0.006188501763726428
18,CIP22BACHL,48474,3,Program not offered,40405,,,,,,,,0.006188501763726428
19,CIP23BACHL,48474,3,Program offered,31708,,,,,,,,0.006188501763726428
20,CIP24BACHL,48474,3,Program offered,23863,,,,,,,,0.006188501763726428
21,CIP25BACHL,48474,3,Program not offered,46971,,,,,,,,0.006188501763726428
22,CIP26BACHL,48474,3,Program offered,32222,,,,,,,,0.006188501763726428
23,CIP27BACHL,48474,3,Program offered,29539,,,,,,,,0.006188501763726428
24,CIP29BACHL,48474,3,Program not offered,48262,,,,,,,,0.006188501763726428
25,CIP30BACHL,48474,3,Program not offered,24695,,,,,,,,0.006188501763726428
26,CIP31BACHL,48474,3,Program not offered,30014,,,,,,,,0.006188501763726428
27,CIP38BACHL,48474,3,Program not offered,24742,,,,,,,,0.006188501763726428
28,CIP39BACHL,48474,3,Program not offered,36982,,,,,,,,0.006188501763726428
29,CIP40BACHL,48474,3,Program offered,27552,,,,,,,,0.006188501763726428
30,CIP41BACHL,48474,3,Program not offered,47364,,,,,,,,0.006188501763726428
31,CIP42BACHL,48474,3,Program offered,32104,,,,,,,,0.006188501763726428
32,CIP43BACHL,48474,3,Program not offered,30234,,,,,,,,0.006188501763726428
33,CIP44BACHL,48474,3,Program not offered,27417,,,,,,,,0.006188501763726428
34,CIP45BACHL,48474,3,Program offered,30398,,,,,,,,0.006188501763726428
35,CIP46BACHL,48474,3,Program not offered,47991,,,,,,,,0.006188501763726428
36,CIP47BACHL,48474,3,Program not offered,47496,,,,,,,,0.006188501763726428
37,CIP48BACHL,48474,3,Program not offered,48011,,,,,,,,0.006188501763726428
38,CIP49BACHL,48474,3,Program not offered,46274,,,,,,,,0.006188501763726428
39,CIP50BACHL,48474,3,Program offered,32485,,,,,,,,0.006188501763726428
40,CIP51BACHL,48474,3,Program offered,27149,,,,,,,,0.006188501763726428
41,CIP52BACHL,48474,3,Program offered,34308,,,,,,,,0.006188501763726428
42,CIP54BACHL,48474,3,Program offered,29165,,,,,,,,0.006188501763726428
43,CITY,48477,1364,Chicago,669,,,,,,,,0.0
44,CONTROL,48477,3,Private nonprofit,29968,,,,,,,,0.0
45,COSTT4_A,21257.0,,,,31476.68335136661,13828.881361245683,3368.0,20422.0,28820.0,40545.0,78555.0,56.150339336180046
46,ENDYEAR,48477.0,,,,2008.8057429296368,6.85584970388902,1997.0,2003.0,2009.0,2015.0,2020.0,0.0
47,HBCU,2041,2,No,1960,,,,,,,,95.78975596674711
48,HIGHDEG,48477,3,Graduate degree,35888,,,,,,,,0.0
49,HSI,2041,2,No,1817,,,,,,,,95.78975596674711
50,INSTNM,48477,2716,Westminster College,72,,,,,,,,0.0
51,MAIN,48477,2,Main campus,42930,,,,,,,,0.0
